Date,Price,Open,High,Low,Vol.,Change %
2023-05-26,21100,21300,21400,20850,16.09M,-0.47%
2023-05-29,21450,21300,21450,21200,11.09M,1.66%
2023-05-30,21350,21500,21600,21250,13.46M,-0.47%
2023-05-31,21200,21400,21450,21150,13.09M,-0.70%
2023-06-01,21400,21150,21400,21050,10.84M,0.94%
2023-06-02,21600,21500,21800,21450,18.87M,0.93%
2023-06-05,21650,21800,22050,21600,20.04M,0.23%
2023-06-06,21750,21700,21850,21550,11.80M,0.46%
2023-06-07,22600,22000,22800,22000,55.51M,3.91%
2023-06-08,22800,22700,23150,22700,42.52M,0.88%
2023-06-09,22900,22800,22900,22500,23.87M,0.44%
2023-06-12,22950,23100,23150,22500,22.22M,0.22%
2023-06-13,23400,23000,23450,22900,36.94M,1.96%
2023-06-14,23100,23450,23450,23100,23.48M,-1.28%
2023-06-15,23150,23000,23250,23000,17.47M,0.22%
2023-06-16,23450,23250,23800,23150,33.01M,1.30%
2023-06-19,23350,23450,23500,23300,13.18M,-0.43%
2023-06-20,23650,23350,23650,23300,14.61M,1.28%
2023-06-21,24600,23700,24650,23500,35.61M,4.02%
2023-06-22,24850,24700,24950,24350,23.04M,1.02%
2023-06-23,25400,24850,25550,24750,29.16M,2.21%
2023-06-26,25200,25400,25500,24700,20.40M,-0.79%
2023-06-27,25800,25350,25800,25100,19.94M,2.38%
2023-06-28,26600,26000,26700,25900,30.31M,3.10%
2023-06-29,25800,26650,26700,25800,36.80M,-3.01%
2023-06-30,26150,25700,26200,25650,23.07M,1.36%
2023-07-03,26200,26200,26450,25900,17.06M,0.19%
2023-07-04,26250,26150,26250,25900,19.73M,0.19%
2023-07-05,26950,26400,27200,26250,31.80M,2.67%
2023-07-06,27000,26900,27150,26500,27.61M,0.19%
2023-07-07,27450,26900,27450,26500,22.61M,1.67%
2023-07-10,27700,27450,27950,27350,24.27M,0.91%
2023-07-11,27300,27800,28050,27250,24.01M,-1.44%
2023-07-12,27000,27300,27450,26650,27.76M,-1.10%
2023-07-13,27050,27500,27500,26900,14.01M,0.19%
2023-07-14,27500,27150,27500,27050,17.08M,1.66%
2023-07-17,27300,27700,27750,27200,12.53M,-0.73%
2023-07-18,27200,27300,27350,27050,12.40M,-0.37%
2023-07-19,27400,27100,27700,27050,15.38M,0.74%
2023-07-20,28200,27300,28200,27300,30.87M,2.92%
2023-07-21,28400,28350,28400,28100,18.46M,0.71%
2023-07-24,28250,28450,28600,28000,17.16M,-0.53%
2023-07-25,28250,28250,28350,28000,20.23M,0.00%
2023-07-26,28400,28250,28450,28150,22.87M,0.53%
